127.0.0.1 - - [09/Sep/2023:09:58:12 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/CSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/imgs/Logo_Cl%C3%ADnica-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/imgs/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/imgs/icon-Cirurgias.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/imgs/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/imgs/icon-exame.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/imgs/icon-consulta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:13 -0300] "GET /Clinica/index/imgs/icon-fisio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "POST /Clinica/User/Entrar.jsp HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "POST /Clinica/User/Entrar.jsp HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "POST /Clinica/index/Logado/Tela_de_Logado.jsp HTTP/1.1" 200 10596
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "GET /Clinica/index/Logado/imgs/Logo_Cl%C3%ADnica-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "GET /Clinica/index/Logado/imgs/castracao-de-caes-e-gatos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "GET /Clinica/index/Logado/imgs/icon-exame.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "GET /Clinica/index/Logado/imgs/icon-Cirurgias.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "GET /Clinica/index/Logado/imgs/icon-fisio.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "GET /Clinica/index/Logado/imgs/icon-consulta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "GET /Clinica/index/Logado/imgs/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:22 -0300] "GET /Clinica/index/Logado/Imgs/img4.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:58:28 -0300] "POST /Clinica/Animal_User/Pagina_animal.jsp HTTP/1.1" 200 33016
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:59:09 -0300] "POST /Clinica/Animal_User/Deletar_animal.jsp?idDesejado=9 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [09/Sep/2023:09:59:09 -0300] "POST /Clinica/Animal_User/Pagina_animal.jsp?conf=deleta HTTP/1.1" 200 32286
