127.0.0.1 - - [13/Sep/2023:16:43:58 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:03 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 20755
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:03 -0300] "GET /Clinica/wasds.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:03 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:41 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 20755
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:45:13 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 20904
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:45:31 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 20757
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:45:34 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 20757
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:45:43 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 20887
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:55:53 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 20887
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:56:35 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:57:24 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:39 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:42 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:44 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:45 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:46 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:47 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:49 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:57 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:06:58 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:07:08 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [13/Sep/2023:17:08:53 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
