0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:52 -0300] "GET /Clinica/index/Logado/Imgs/img4.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:52 -0300] "GET /Clinica/index/Logado/imgs/icon-consulta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:56 -0300] "POST /Clinica/index/Logado/Tela_de_Logado.jsp HTTP/1.1" 200 10596
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:56 -0300] "GET /Clinica/index/Logado/Imgs/img4.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:56 -0300] "GET /Clinica/index/Logado/imgs/img1.jpg HTTP/1.1" 200 274403
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:56 -0300] "GET /Clinica/index/Logado/imgs/castracao-de-caes-e-gatos.jpg HTTP/1.1" 200 254133
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:56 -0300] "GET /Clinica/index/Logado/imgs/Logo_Cl%C3%ADnica-removebg-preview.png HTTP/1.1" 200 52623
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:26:56 -0300] "GET /Clinica/index/Logado/imgs/icon-exame.png HTTP/1.1" 200 20201
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:27:09 -0300] "POST /Clinica/Animal_User/Pagina_animal.jsp HTTP/1.1" 200 34188
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:27:09 -0300] "GET /Clinica/Animal_User/CSS.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:28:03 -0300] "GET /Clinica/ADM/ADM_Lista.jsp HTTP/1.1" 200 48275
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:28:03 -0300] "GET /Clinica/ADM/wasds.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:32:56 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:32:57 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:00 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:01 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:02 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:02 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:02 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:02 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:02 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:02 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:02 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:04 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:04 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:05 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:05 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:06 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:06 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:06 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:06 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:07 -0300] "GET /Clinica/index/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2023:11:33:07 -0300] "GET /Clinica/index/Imgs/img4.jpg HTTP/1.1" 404 803
