127.0.0.1 - - [14/Sep/2023:07:28:15 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:29:51 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:29:51 -0300] "GET /Clinica/wasds.css HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:29:52 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:30:30 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:30:50 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:32:36 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:32:38 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:32:47 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26381
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:32:57 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:34:23 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 25402
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:34:44 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 25402
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:34:47 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 25402
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:34:48 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 25402
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:34:48 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 25402
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:34:53 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 26382
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:46:09 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 500 2639
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:49:28 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39533
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:50:42 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39533
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:50:45 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39533
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:50:50 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39533
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:50:52 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39533
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:52:08 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39651
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:53:20 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39602
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:54:46 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39352
0:0:0:0:0:0:0:1 - - [14/Sep/2023:07:55:04 -0300] "GET /Clinica/ADM_Lista.jsp HTTP/1.1" 200 39303
